experiment,mode,result,attempt,path_length_m,time_s,encounters,personal_violations,intimate_violations,min_ped_dist_m,mean_angular_acceleration,source_wall_s,source_wall_min,time_wall_actual_wall_0p843x_s,time_wall_actual_wall_0p843x_min,source_to_actual_wall_0p843x_wall_scale
1,social_dstar,succeeded,0,36.541,99.32,9,18,3,0.041,0.3687,117.82,1.96,117.82,1.96,1.0000
2,social_dstar,succeeded,0,32.681,83.72,4,10,2,0.328,0.2768,99.31,1.66,99.31,1.66,1.0000
3,social_dstar,timeout,1,26.075,240.63,33,40,2,0.219,0.1812,285.44,4.76,285.44,4.76,1.0000
4,social_dstar,succeeded,0,42.685,115.38,10,9,0,0.49,0.3141,136.87,2.28,136.87,2.28,1.0000
5,social_dstar,succeeded,1,39.583,114.89,10,12,4,0.032,0.3054,136.29,2.27,136.29,2.27,1.0000
6,social_dstar,timeout,0,26.002,240.49,3,5,4,0.12,0.1741,285.28,4.75,285.28,4.75,1.0000
7,social_dstar,succeeded,0,36.739,102.17,5,9,2,0.134,0.2594,121.20,2.02,121.20,2.02,1.0000
8,social_dstar,succeeded,0,32.497,81.99,8,10,0,0.518,0.206,97.26,1.62,97.26,1.62,1.0000
9,social_dstar,succeeded,0,32.895,81.92,5,9,0,0.539,0.2127,97.18,1.62,97.18,1.62,1.0000
10,social_dstar,succeeded,0,32.655,101.9,7,9,2,0.301,0.2813,120.88,2.01,120.88,2.01,1.0000
11,social_dstar,succeeded,0,32.457,81.36,5,8,0,0.557,0.2366,96.51,1.61,96.51,1.61,1.0000
12,social_dstar,succeeded,1,37.156,101.03,5,9,1,0.39,0.244,119.85,2.00,119.85,2.00,1.0000
13,social_dstar,aborted,1,38.019,112.27,11,15,6,0.236,0.3035,133.18,2.22,133.18,2.22,1.0000
14,social_dstar,succeeded,0,54.806,146.63,16,16,5,0.119,0.2576,173.94,2.90,173.94,2.90,1.0000
15,social_dstar,succeeded,0,32.961,132.24,11,16,9,0.16,0.2247,156.87,2.61,156.87,2.61,1.0000
16,social_dstar,succeeded,0,34.38,111.02,8,13,2,0.137,0.21,131.70,2.19,131.70,2.19,1.0000
17,social_dstar,succeeded,0,33.119,133.85,11,18,2,0.31,0.2046,158.78,2.65,158.78,2.65,1.0000
18,social_dstar,timeout,0,32.74,240.51,23,22,24,0.037,0.1443,285.30,4.76,285.30,4.76,1.0000
19,social_dstar,succeeded,0,36.931,100.11,5,8,0,0.481,0.1972,118.75,1.98,118.75,1.98,1.0000
20,social_dstar,succeeded,0,39.563,102.41,6,8,6,0.092,0.2076,121.48,2.02,121.48,2.02,1.0000
21,social_dstar,succeeded,0,32.808,112.24,12,14,2,0.357,0.1925,133.14,2.22,133.14,2.22,1.0000
22,social_dstar,succeeded,0,33.12,135.33,12,18,3,0.282,0.2204,160.53,2.68,160.53,2.68,1.0000
23,social_dstar,succeeded,0,32.63,132.52,13,19,3,0.063,0.1967,157.20,2.62,157.20,2.62,1.0000
24,social_dstar,succeeded,0,32.797,136.0,10,18,8,0.213,0.1833,161.33,2.69,161.33,2.69,1.0000
25,social_dstar,succeeded,0,32.452,82.16,11,10,0,0.48,0.1829,97.46,1.62,97.46,1.62,1.0000
