"mode","original_run_no","result","attempt","source_file","source_row","reason"
"baseline","1","succeeded","0","experiment_results_v3.csv","105","beyond_20_after_batch_reindex"
"baseline","2","succeeded","0","experiment_results_v3.csv","106","beyond_20_after_batch_reindex"
"social_smac","2","succeeded","0","experiment_results_v3.csv","99","beyond_20_after_batch_reindex"
"social_smac","1","succeeded","0","social_mix_headless.csv","1","beyond_20_after_batch_reindex"
"social_smac","2","succeeded","0","social_mix_headless.csv","2","beyond_20_after_batch_reindex"
"social_dstar","1","succeeded","0","social_mix_headless.csv","3","beyond_20_after_batch_reindex"
"social_dstar","2","succeeded","0","social_mix_headless.csv","4","beyond_20_after_batch_reindex"
"social_dstar","3","succeeded","0","social_mix_headless.csv","5","beyond_20_after_batch_reindex"
"social_dstar","4","succeeded","0","social_mix_headless.csv","6","beyond_20_after_batch_reindex"
"social_dstar","5","succeeded","0","social_mix_headless.csv","7","beyond_20_after_batch_reindex"
